"","parentID","locID","locName"
"1",409,40923,"Atharogashia"
"2",409,40963,"Gulishakhali"
"3",409,40987,"Kukua"
"4",4104,410442,"Payra"
"5",4138,413819,"Gaurighona"
"6",4138,413876,"Sufalakati"
"7",4161,416172,"Manoharpur"
"8",4712,471235,"Batiaghata"
"9",4712,471259,"Gangarampur"
"10",4712,471271,"Jalma"
"11",4712,471283,"Surkhali"
"12",4730,473006,"Atlia"
"13",4730,473013,"Bhandar Para"
"14",4730,473020,"Dhamalia"
"15",4730,473027,"Dumuria"
"16",4730,473033,"Gutudia"
"17",4730,473040,"Kharnia"
"18",4730,473061,"Raghunathpur"
"19",4730,473067,"Rangpur"
"20",4730,473074,"Rudaghara"
"21",4730,473081,"Sahas"
"22",4730,473088,"Sarappur"
"23",4730,473094,"Sobhana"
"24",4764,476427,"Deluti"
"25",7852,785210,"Alipur"
"26",7852,785242,"Betagi Sankipura"
"27",7857,785711,"Amkhola"
"28",7857,785722,"Bakulbaria"
"29",7857,785737,"Char Biswas"
"30",7857,785739,"Char Kajal"
"31",7857,785750,"Chiknikandi"
"32",7857,785755,"Dakua"
"33",7857,785767,"Galachipa Sadar"
"34",7857,785769,"Gazalia"
"35",7857,785778,"Panpatty"
"36",7866,786629,"Dhulasar"
"37",7866,786659,"Mithaganj"
"38",7895,789510,"Auliapur"
"39",7895,789513,"Chhota Bighai"
"40",7895,789527,"Jainkati"
"41",7895,789531,"Bara Bighai"
"42",7895,789533,"Kalikapur"
"43",7895,789540,"Kamalapur"
"44",7895,789567,"Madarbunia"
"45",7895,789574,"Marichbunia"
"46",7897,789727,"Bara Baisdia"
"47",7897,789732,"Chalitabunia"
"48",7897,789734,"Char Montaz"
"49",7897,789744,"Chotabaisdia"
"50",7897,789783,"Rangabali"
"51",8704,870434,"Budhhata"
"52",8743,874339,"Jallabad"
"53",8743,874347,"Joynagar"
"54",8743,874387,"Koyla"
"55",8782,878227,"Balli"
"56",8782,878247,"Brahma Rajpur"
"57",8782,878251,"Fingri"
"58",8782,878254,"Dhulihar"
"59",8782,878267,"Jhaudanga"
"60",8782,878281,"Labsa"
"61",8790,879007,"Dhandia"
"62",8790,879071,"Nagarghata"
"63",8790,879079,"Sarulia"
